,time,language,source,group,hashtag
218,2019-09-07 02:48:42,th,Twitter for Android,2 am,[]
219,2019-09-07 02:48:45,th,Twitter Web App,2 am,[]
220,2019-09-07 02:48:56,und,Twitter for Android,2 am,"['KCON2019THAILAND', 'ตลาดนัดitzy', 'ตลาดนัดmidzy', 'ITZY', 'YEJI', 'LIA', 'RYUJIN', 'CHAERYEONG', 'YUNA']"
221,2019-09-07 02:49:19,th,Twitter for Android,2 am,[]
222,2019-09-07 02:49:47,th,Twitter for iPhone,2 am,['KCON2019THAILAND']
223,2019-09-07 02:50:41,th,Twitter for iPhone,2 am,[]
224,2019-09-07 02:52:55,th,Twitter for iPhone,2 am,['KCON2019THAILAND']
225,2019-09-07 02:53:21,en,Twitter for iPhone,2 am,[]
226,2019-09-07 02:53:51,th,Twitter for iPhone,2 am,['KCON2019THAILAND']
227,2019-09-07 02:53:57,th,Twitter for Android,2 am,"['Flash3rdWin', 'X1']"
228,2019-09-07 02:54:05,th,Twitter for iPad,2 am,"['KCON2019Thailand', 'AB6IX']"
229,2019-09-07 02:54:09,th,Twitter for Android,2 am,"['รับทำของแจก', 'Producex101', 'KCON2019THAILAND', 'ChaEunwooinBKK']"
230,2019-09-07 02:54:14,th,Twitter for iPhone,2 am,"['KCON2019THAILAND', 'X1']"
231,2019-09-07 02:54:16,th,Twitter for Android,2 am,['ผ้าปิดปากสีดำ']
232,2019-09-07 02:54:46,th,Twitter for iPhone,2 am,"['KCON2019Thailand', 'oneus']"
233,2019-09-07 02:55:08,th,Twitter for iPhone,2 am,"['KCON2019THAILAND', 'X1']"
234,2019-09-07 02:55:13,th,Twitter for iPhone,2 am,['KCON2019THAILAND']
235,2019-09-07 02:55:23,th,Twitter for iPhone,2 am,['KCON2019THAILAND']
236,2019-09-07 02:55:28,th,Twitter for Android,2 am,"['โปรเจคเด็กหลง', 'KCON2019THAILAND']"
237,2019-09-07 02:55:31,en,Twitter for Android,2 am,"['TagTagTag', 'VERIVERY', 'KCON2019THAILAND', 'MarketerK', 'MCDxKCON', 'KCON2019', 'MCOUNTDOWN']"
238,2019-09-07 02:56:11,th,Twitter for Android,2 am,['KCON2019THAILAND']
239,2019-09-07 02:56:29,th,Twitter for iPhone,2 am,['KCON2019THAILAND']
240,2019-09-07 02:56:30,th,Twitter for iPhone,2 am,['KCON2019THAILAND']
241,2019-09-07 02:56:49,th,Twitter for iPhone,2 am,[]
242,2019-09-07 02:57:06,th,Twitter for iPhone,2 am,"['ตลาดนัดWANNAONE', 'ตลาดนัดวนว', 'ตลาดนัดWIND', 'ตลาดนัดAB6IX']"
243,2019-09-07 02:57:12,ko,Twitter Web App,2 am,"['음표기차', 'X1', '엑스원', 'KCON2019THAILAND']"
244,2019-09-07 02:57:16,en,Twitter for Android,2 am,"['KCON2019THAILAND', 'TwitterBlueroom', 'HiPrae']"
245,2019-09-07 02:57:16,en,Twitter for Android,2 am,"['KCON2019THAILAND', 'TwitterBlueroom', 'THEBOYZ']"
246,2019-09-07 02:57:30,th,Twitter for Android,2 am,"['KCON', 'KCON2019', 'KCON2019THAILAND']"
247,2019-09-07 02:57:39,th,Twitter for iPhone,2 am,"['ตลาดนัดWANNAONE', 'ตลาดนัดวนว', 'ตลาดนัดWIND', 'ตลาดนัดMAY']"
